bounty,frame_timestamp,game_id,kill_streak_length,killer_id,position_x,position_y,shutdown_bounty,timestamp,type,victim_id
300.0,960325,7586955442,4.0,1.0,11023.0,1376.0,23.0,922802,CHAMPION_KILL,7.0
261.0,960325,7586955442,1.0,4.0,8250.0,6749.0,0.0,929681,CHAMPION_KILL,6.0
213.0,1080388,7586955442,5.0,3.0,1348.0,10736.0,0.0,1030845,CHAMPION_KILL,6.0
300.0,1080388,7586955442,0.0,5.0,9361.0,8365.0,0.0,1061646,CHAMPION_KILL,9.0
280.0,1080388,7586955442,5.0,1.0,13109.0,9665.0,0.0,1078885,CHAMPION_KILL,8.0
300.0,1112577,7586955442,1.0,5.0,13798.0,8774.0,0.0,1094876,CHAMPION_KILL,7.0
300.0,360159,7586443327,0.0,9.0,13349.0,3094.0,0.0,303731,CHAMPION_KILL,4.0
300.0,360159,7586443327,0.0,4.0,11644.0,4117.0,0.0,357387,CHAMPION_KILL,10.0
300.0,420181,7586443327,1.0,4.0,12627.0,4426.0,15.0,360760,CHAMPION_KILL,9.0
300.0,420181,7586443327,0.0,7.0,12338.0,4388.0,0.0,361996,CHAMPION_KILL,4.0
300.0,480191,7586443327,0.0,3.0,13286.0,3696.0,24.0,438857,CHAMPION_KILL,7.0
286.0,480191,7586443327,0.0,9.0,12941.0,4310.0,0.0,454331,CHAMPION_KILL,4.0
300.0,480191,7586443327,0.0,2.0,14104.0,5698.0,23.0,455132,CHAMPION_KILL,9.0
300.0,600235,7586443327,1.0,3.0,10934.0,6471.0,0.0,575162,CHAMPION_KILL,10.0
251.0,600235,7586443327,0.0,8.0,10968.0,6194.0,0.0,577076,CHAMPION_KILL,4.0
300.0,600235,7586443327,2.0,3.0,10714.0,6091.0,0.0,578378,CHAMPION_KILL,7.0
300.0,660268,7586443327,0.0,7.0,4951.0,8717.0,0.0,643263,CHAMPION_KILL,5.0
213.0,660268,7586443327,0.0,6.0,4630.0,9422.0,0.0,658627,CHAMPION_KILL,4.0
300.0,720276,7586443327,0.0,9.0,4618.0,11598.0,0.0,672835,CHAMPION_KILL,1.0
300.0,720276,7586443327,1.0,9.0,4210.0,11482.0,84.0,679582,CHAMPION_KILL,2.0
278.0,780284,7586443327,0.0,5.0,6338.0,10136.0,0.0,722529,CHAMPION_KILL,10.0
300.0,780284,7586443327,1.0,8.0,6205.0,8979.0,0.0,726938,CHAMPION_KILL,5.0
211.0,840305,7586443327,0.0,2.0,7433.0,6711.0,0.0,813273,CHAMPION_KILL,10.0
300.0,960350,7586443327,0.0,4.0,9374.0,8870.0,159.0,914967,CHAMPION_KILL,9.0
300.0,960350,7586443327,1.0,6.0,6375.0,6965.0,0.0,949677,CHAMPION_KILL,4.0
300.0,1080392,7586443327,1.0,7.0,9316.0,9004.0,0.0,1061956,CHAMPION_KILL,4.0
300.0,1080392,7586443327,0.0,5.0,9955.0,7923.0,0.0,1064927,CHAMPION_KILL,9.0
178.0,1080392,7586443327,1.0,2.0,8137.0,8615.0,0.0,1069637,CHAMPION_KILL,10.0
300.0,1080392,7586443327,0.0,1.0,10415.0,7897.0,79.0,1074647,CHAMPION_KILL,7.0
300.0,1080392,7586443327,2.0,8.0,8598.0,7419.0,0.0,1074708,CHAMPION_KILL,5.0
300.0,1140409,7586443327,1.0,1.0,9871.0,6554.0,217.0,1084601,CHAMPION_KILL,6.0
132.0,1200419,7586443327,3.0,3.0,13215.0,6941.0,0.0,1185510,CHAMPION_KILL,10.0
300.0,1320459,7586443327,0.0,7.0,10153.0,6729.0,0.0,1296991,CHAMPION_KILL,4.0
264.0,1380477,7586443327,0.0,9.0,9546.0,4110.0,0.0,1321862,CHAMPION_KILL,5.0
300.0,1380477,7586443327,1.0,9.0,5874.0,3660.0,232.0,1350295,CHAMPION_KILL,3.0
300.0,1380477,7586443327,0.0,6.0,5724.0,3528.0,67.0,1352433,CHAMPION_KILL,2.0
243.0,1380477,7586443327,1.0,6.0,5480.0,3352.0,0.0,1358784,CHAMPION_KILL,4.0
300.0,1380477,7586443327,2.0,6.0,5523.0,3493.0,24.0,1362859,CHAMPION_KILL,1.0
