feat_type,feat_value,frame_timestamp,game_id,team_id,timestamp,type
2.0,1.0,600228,7587426287,200.0,600162,FEAT_UPDATE
2.0,2.0,720265,7587426287,200.0,693432,FEAT_UPDATE
1.0,1.0,900296,7587426287,200.0,856050,FEAT_UPDATE
1.0,1001.0,900296,7587426287,100.0,856050,FEAT_UPDATE
2.0,3.0,960317,7587426287,200.0,912386,FEAT_UPDATE
2.0,1001.0,960317,7587426287,100.0,912386,FEAT_UPDATE
0.0,1.0,120035,7586463010,200.0,60717,FEAT_UPDATE
0.0,2.0,180036,7586463010,200.0,165641,FEAT_UPDATE
0.0,1.0,240053,7586463010,100.0,224322,FEAT_UPDATE
0.0,2.0,240053,7586463010,100.0,230568,FEAT_UPDATE
0.0,3.0,360092,7586463010,200.0,320034,FEAT_UPDATE
0.0,1001.0,360092,7586463010,100.0,320034,FEAT_UPDATE
2.0,1.0,420092,7586463010,200.0,387220,FEAT_UPDATE
2.0,1.0,420092,7586463010,100.0,388156,FEAT_UPDATE
2.0,2.0,660233,7586463010,100.0,646022,FEAT_UPDATE
2.0,3.0,780275,7586463010,100.0,763273,FEAT_UPDATE
2.0,1001.0,780275,7586463010,200.0,763273,FEAT_UPDATE
1.0,1.0,900323,7586463010,100.0,866453,FEAT_UPDATE
1.0,1001.0,900323,7586463010,200.0,866453,FEAT_UPDATE
0.0,1.0,120016,7586110280,100.0,60377,FEAT_UPDATE
0.0,2.0,180019,7586110280,100.0,148546,FEAT_UPDATE
0.0,1.0,180019,7586110280,200.0,171327,FEAT_UPDATE
0.0,3.0,180019,7586110280,100.0,174767,FEAT_UPDATE
0.0,1001.0,180019,7586110280,200.0,174767,FEAT_UPDATE
2.0,1.0,540210,7586110280,100.0,502972,FEAT_UPDATE
2.0,2.0,720226,7586110280,100.0,678135,FEAT_UPDATE
2.0,3.0,840257,7586110280,100.0,792278,FEAT_UPDATE
2.0,1001.0,840257,7586110280,200.0,792278,FEAT_UPDATE
0.0,1.0,180141,7586652275,100.0,170066,FEAT_UPDATE
0.0,2.0,240153,7586652275,100.0,185586,FEAT_UPDATE
0.0,3.0,300174,7586652275,100.0,260301,FEAT_UPDATE
0.0,1001.0,300174,7586652275,200.0,260301,FEAT_UPDATE
2.0,1.0,420201,7586652275,100.0,391946,FEAT_UPDATE
2.0,2.0,600270,7586652275,100.0,567475,FEAT_UPDATE
2.0,3.0,720301,7586652275,100.0,673408,FEAT_UPDATE
2.0,1001.0,720301,7586652275,200.0,673408,FEAT_UPDATE
0.0,1.0,120055,7586904196,100.0,99413,FEAT_UPDATE
0.0,1.0,240187,7586904196,200.0,215070,FEAT_UPDATE
0.0,2.0,240187,7586904196,100.0,215270,FEAT_UPDATE
0.0,3.0,240187,7586904196,100.0,221148,FEAT_UPDATE
0.0,1001.0,240187,7586904196,200.0,221148,FEAT_UPDATE
2.0,1.0,420251,7586904196,100.0,411102,FEAT_UPDATE
2.0,1.0,480271,7586904196,200.0,429203,FEAT_UPDATE
2.0,2.0,720330,7586904196,100.0,682777,FEAT_UPDATE
1.0,1.0,720330,7586904196,100.0,714185,FEAT_UPDATE
1.0,1001.0,720330,7586904196,200.0,714185,FEAT_UPDATE
0.0,1.0,300064,7586087322,100.0,244871,FEAT_UPDATE
0.0,1.0,300064,7586087322,200.0,249780,FEAT_UPDATE
0.0,2.0,300064,7586087322,100.0,252625,FEAT_UPDATE
0.0,2.0,300064,7586087322,200.0,268826,FEAT_UPDATE
0.0,3.0,300064,7586087322,200.0,288935,FEAT_UPDATE
0.0,1001.0,300064,7586087322,100.0,288935,FEAT_UPDATE
2.0,1.0,600230,7586087322,200.0,583186,FEAT_UPDATE
2.0,2.0,720269,7586087322,200.0,674386,FEAT_UPDATE
2.0,3.0,900313,7586087322,200.0,851261,FEAT_UPDATE
2.0,1001.0,900313,7586087322,100.0,851261,FEAT_UPDATE
0.0,1.0,300178,7586959233,100.0,267492,FEAT_UPDATE
2.0,1.0,420193,7586959233,100.0,397180,FEAT_UPDATE
0.0,2.0,420193,7586959233,100.0,414371,FEAT_UPDATE
0.0,3.0,420193,7586959233,100.0,415941,FEAT_UPDATE
0.0,1001.0,420193,7586959233,200.0,415941,FEAT_UPDATE
2.0,1.0,480196,7586959233,200.0,422831,FEAT_UPDATE
2.0,2.0,720273,7586959233,100.0,665751,FEAT_UPDATE
2.0,2.0,900347,7586959233,200.0,879925,FEAT_UPDATE
1.0,1.0,900347,7586959233,100.0,899551,FEAT_UPDATE
1.0,1001.0,900347,7586959233,200.0,899551,FEAT_UPDATE
0.0,1.0,240116,7586644074,200.0,180174,FEAT_UPDATE
0.0,2.0,240116,7586644074,200.0,188323,FEAT_UPDATE
0.0,1.0,240116,7586644074,100.0,196940,FEAT_UPDATE
0.0,2.0,360152,7586644074,100.0,321233,FEAT_UPDATE
0.0,3.0,360152,7586644074,200.0,325007,FEAT_UPDATE
0.0,1001.0,360152,7586644074,100.0,325007,FEAT_UPDATE
2.0,1.0,660242,7586644074,100.0,600596,FEAT_UPDATE
2.0,2.0,960337,7586644074,100.0,949746,FEAT_UPDATE
1.0,1.0,1020356,7586644074,100.0,962041,FEAT_UPDATE
1.0,1001.0,1020356,7586644074,200.0,962041,FEAT_UPDATE
2.0,3.0,1080374,7586644074,100.0,1033312,FEAT_UPDATE
2.0,1001.0,1080374,7586644074,200.0,1033312,FEAT_UPDATE
0.0,1.0,180061,7587483589,100.0,125888,FEAT_UPDATE
0.0,2.0,180061,7587483589,100.0,160322,FEAT_UPDATE
0.0,3.0,180061,7587483589,100.0,165799,FEAT_UPDATE
0.0,1001.0,180061,7587483589,200.0,165799,FEAT_UPDATE
2.0,1.0,540239,7587483589,200.0,480575,FEAT_UPDATE
2.0,1.0,720306,7587483589,100.0,702330,FEAT_UPDATE
1.0,1.0,780327,7587483589,100.0,758728,FEAT_UPDATE
1.0,1001.0,780327,7587483589,200.0,758728,FEAT_UPDATE
0.0,1.0,240175,7586937222,100.0,219595,FEAT_UPDATE
0.0,2.0,240175,7586937222,100.0,226476,FEAT_UPDATE
0.0,3.0,240175,7586937222,100.0,229214,FEAT_UPDATE
0.0,1001.0,240175,7586937222,200.0,229214,FEAT_UPDATE
2.0,1.0,480224,7586937222,100.0,443534,FEAT_UPDATE
1.0,1.0,780305,7586937222,100.0,766287,FEAT_UPDATE
1.0,1001.0,780305,7586937222,200.0,766287,FEAT_UPDATE
0.0,1.0,120029,7587211379,200.0,77812,FEAT_UPDATE
0.0,1.0,180145,7587211379,100.0,142210,FEAT_UPDATE
0.0,2.0,180145,7587211379,200.0,145417,FEAT_UPDATE
0.0,2.0,240155,7587211379,100.0,184860,FEAT_UPDATE
0.0,3.0,240155,7587211379,200.0,191507,FEAT_UPDATE
0.0,1001.0,240155,7587211379,100.0,191507,FEAT_UPDATE
